iter	Passed	Remaining
402	13140	149891
403	13173	149868
404	13217	149961
405	13252	149955
406	13283	149905
407	13313	149836
408	13343	149780
409	13378	149771
410	13410	149739
411	13438	149650
412	13467	149577
413	13499	149533
414	13532	149513
415	13560	149431
416	13593	149396
417	13620	149306
418	13654	149283
419	13687	149256
420	13715	149181
421	13745	149113
422	13778	149086
423	13810	149046
424	13842	149012
425	13874	148966
426	13903	148897
427	13931	148814
428	13968	148830
429	14000	148797
430	14038	148821
431	14070	148787
432	14104	148765
433	14134	148703
434	14168	148689
435	14205	148700
436	14244	148735
437	14275	148686
438	14305	148623
439	14332	148539
440	14366	148519
441	14398	148475
442	14430	148444
443	14462	148407
444	14491	148329
445	14527	148337
446	14556	148264
447	14588	148233
448	14620	148193
449	14648	148114
450	14680	148075
451	14709	148001
452	14737	147932
453	14769	147892
454	14804	147881
455	14832	147806
456	14861	147740
457	14894	147706
458	14924	147648
459	14952	147578
460	14985	147546
461	15021	147545
462	15053	147512
463	15083	147451
464	15117	147434
465	15146	147367
466	15179	147339
467	15214	147332
468	15246	147295
469	15279	147266
470	15311	147227
471	15345	147210
472	15380	147204
473	15412	147166
474	15444	147131
475	15477	147097
476	15508	147051
477	15542	147032
478	15575	147007
479	15605	146948
480	15635	146896
481	15665	146835
482	15692	146753
483	15724	146716
484	15759	146706
485	15792	146677
486	15825	146652
487	15859	146631
488	15892	146609
489	15924	146566
490	15960	146565
491	15995	146561
492	16029	146537
493	16059	146484
494	16094	146472
495	16134	146514
496	16167	146482
497	16200	146456
498	16234	146432
499	16264	146376
500	16295	146335
501	16325	146276
502	16354	146213
503	16383	146154
504	16419	146151
505	16452	146123
506	16483	146076
507	16515	146041
508	16544	145976
509	16577	145944
510	16606	145881
511	16635	145824
512	16671	145821
513	16700	145756
514	16733	145727
515	16773	145763
516	16806	145734
517	16839	145701
518	16867	145635
519	16900	145601
520	16933	145575
521	16961	145505
522	16995	145486
523	17022	145410
524	17055	145379
525	17085	145323
526	17118	145299
527	17150	145261
528	17180	145209
529	17210	145153
530	17245	145139
531	17280	145127
532	17313	145104
533	17345	145066
534	17377	145030
535	17408	144986
536	17441	144952
537	17469	144889
538	17502	144856
539	17537	144842
540	17570	144816
541	17605	144809
542	17639	144787
543	17672	144758
544	17702	144705
545	17730	144638
546	17763	144607
547	17792	144550
548	17823	144502
549	17856	144473
550	17884	144409
551	17914	144354
552	17944	144304
553	17974	144251
554	18005	144208
555	18034	144146
556	18062	144082
557	18094	144045
558	18126	144004
559	18160	143988
560	18194	143968
561	18227	143937
562	18257	143889
563	18287	143834
564	18320	143806
565	18348	143743
566	18380	143707
567	18410	143654
568	18441	143612
569	18480	143631
570	18512	143596
571	18547	143580
572	18575	143513
573	18604	143452
574	18634	143407
575	18664	143356
576	18695	143313
577	18724	143253
578	18756	143218
579	18788	143185
580	18819	143140
581	18851	143100
582	18885	143079
583	18916	143041
584	18955	143056
585	18987	143025
586	19020	142993
587	19050	142940
588	19079	142882
589	19108	142827
590	19149	142863
591	19183	142841
592	19213	142790
593	19245	142753
594	19279	142736
595	19309	142681
596	19340	142638
597	19376	142635
598	19406	142581
599	19437	142544
600	19470	142513
601	19503	142487
602	19534	142442
603	19568	142422
604	19602	142398
605	19633	142355
606	19667	142340
607	19703	142329
608	19738	142319
609	19773	142306
610	19807	142282
611	19840	142255
612	19877	142258
613	19908	142211
614	19940	142175
615	19973	142148
616	20005	142116
617	20039	142092
618	20073	142070
619	20105	142037
620	20135	141983
621	20168	141957
622	20198	141905
623	20225	141835
624	20257	141799
625	20289	141768
626	20321	141733
627	20356	141717
628	20391	141700
629	20420	141643
630	20451	141608
631	20481	141556
632	20509	141491
633	20542	141467
634	20572	141415
635	20602	141366
636	20631	141311
637	20668	141309
638	20700	141277
639	20734	141253
640	20761	141187
641	20797	141176
642	20831	141156
643	20862	141115
644	20893	141072
645	20926	141042
646	20958	141009
647	20988	140957
648	21021	140934
649	21051	140885
650	21082	140842
651	21111	140786
652	21145	140764
653	21178	140736
654	21209	140692
655	21240	140656
656	21277	140654
657	21310	140626
658	21341	140583
659	21374	140553
660	21403	140496
661	21435	140464
662	21476	140490
663	21507	140443
664	21542	140429
665	21577	140417
666	21611	140396
667	21640	140341
668	21673	140313
669	21704	140270
670	21738	140248
671	21774	140235
672	21807	140208
673	21840	140183
674	21870	140134
675	21902	140095
676	21930	140036
677	21962	140005
678	21995	139975
679	22024	139919
680	22056	139887
681	22088	139851
682	22121	139822
683	22154	139794
684	22188	139773
685	22222	139747
686	22259	139744
687	22303	139788
688	22337	139760
689	22371	139738
690	22404	139708
691	22436	139675
692	22466	139630
693	22498	139597
694	22526	139534
695	22556	139486
696	22588	139450
697	22621	139424
698	22650	139369
699	22678	139312
700	22708	139264
701	22737	139208
702	22773	139200
703	22805	139164
704	22837	139129
705	22869	139096
706	22902	139065
707	22935	139038
708	22967	139002
709	23000	138974
710	23030	138925
711	23062	138895
712	23097	138878
713	23126	138821
714	23158	138789
715	23192	138768
716	23223	138727
717	23256	138699
718	23287	138654
719	23323	138647
720	23361	138648
721	23394	138618
722	23422	138559
723	23454	138521
724	23482	138463
725	23512	138417
726	23541	138367
727	23569	138307
728	23598	138254
729	23630	138224
730	23664	138201
731	23697	138172
732	23728	138127
733	23756	138074
734	23787	138029
735	23818	137993
736	23852	137968
737	23881	137917
738	23913	137885
739	23946	137852
740	23976	137808
741	24009	137778
742	24041	137747
743	24074	137715
744	24105	137677
745	24136	137637
746	24163	137574
747	24201	137570
748	24234	137542
749	24263	137491
750	24291	137436
751	24326	137416
752	24356	137372
753	24390	137352
754	24426	137337
755	24460	137315
756	24499	137318
757	24530	137282
758	24561	137240
759	24590	137187
760	24622	137156
761	24654	137117
762	24683	137066
763	24715	137037
764	24748	137006
765	24784	136995
766	24820	136982
767	24852	136947
768	24888	136934
769	24917	136885
770	24950	136857
771	24982	136822
772	25016	136797
773	25050	136776
774	25090	136784
775	25124	136761
776	25154	136712
777	25186	136680
778	25214	136626
779	25244	136577
780	25274	136533
781	25307	136503
782	25343	136490
783	25371	136438
784	25404	136406
785	25436	136375
786	25469	136345
787	25497	136290
788	25530	136258
789	25559	136207
790	25596	136201
791	25627	136164
792	25662	136142
793	25694	136110
794	25724	136066
795	25756	136029
796	25792	136016
797	25821	135968
798	25854	135939
799	25889	135922
800	25922	135889
801	25952	135848
802	25985	135816
803	26018	135787
804	26051	135756
805	26079	135706
806	26112	135673
807	26144	135640
808	26178	135616
809	26215	135606
810	26248	135579
811	26277	135527
812	26311	135504
813	26346	135485
814	26373	135427
815	26404	135386
816	26438	135363
817	26479	135373
818	26517	135373
819	26546	135324
820	26577	135284
821	26611	135256
822	26642	135218
823	26680	135215
824	26715	135194
825	26749	135172
826	26783	135147
827	26820	135136
828	26852	135105
829	26887	135086
830	26920	135053
831	26955	135037
832	26990	135015
833	27024	134991
834	27056	134958
835	27087	134920
836	27119	134885
837	27153	134861
838	27190	134848
839	27226	134837
840	27260	134809
841	27290	134767
842	27322	134731
843	27356	134709
844	27389	134680
845	27422	134649
846	27450	134593
847	27488	134589
848	27518	134547
849	27550	134510
850	27584	134484
851	27615	134448
852	27649	134420
853	27679	134380
854	27709	134332
855	27737	134281
856	27770	134252
857	27808	134245
858	27841	134218
859	27870	134169
860	27902	134134
861	27936	134108
862	27970	134082
863	28009	134081
864	28041	134048
865	28072	134010
866	28107	133987
867	28139	133956
868	28170	133917
869	28199	133868
870	28230	133825
871	28261	133789
872	28292	133750
873	28325	133717
874	28359	133694
875	28395	133677
876	28430	133659
877	28459	133609
878	28491	133574
879	28525	133549
880	28559	133526
881	28598	133522
882	28632	133501
883	28666	133475
884	28693	133417
885	28726	133389
886	28757	133349
887	28794	133336
888	28831	133323
889	28865	133300
890	28898	133272
891	28927	133223
892	28962	133200
893	28996	133175
894	29030	133153
895	29064	133125
896	29102	133118
897	29133	133078
898	29159	133020
899	29193	132991
900	29225	132960
901	29259	132930
902	29288	132882
903	29321	132854
904	29354	132826
905	29398	132846
906	29436	132837
907	29470	132811
908	29503	132782
909	29537	132755
910	29567	132712
911	29605	132703
912	29639	132679
913	29671	132644
914	29705	132619
915	29739	132592
916	29773	132566
917	29803	132525
918	29836	132493
919	29870	132467
920	29909	132465
921	29939	132421
922	29968	132376
923	30003	132351
924	30036	132321
925	30068	132288
926	30099	132249
927	30131	132216
928	30162	132177
929	30194	132142
930	30233	132136
931	30268	132116
932	30296	132066
933	30326	132019
934	30354	131969
935	30386	131935
936	30423	131921
937	30458	131898
938	30491	131868
939	30523	131834
940	30557	131810
941	30589	131774
942	30622	131745
943	30656	131719
944	30686	131677
945	30721	131652
946	30754	131624
947	30783	131577
948	30818	131553
949	30852	131530
950	30885	131500
951	30917	131464
952	30949	131429
953	30980	131393
954	31013	131359
955	31045	131325
956	31078	131294
957	31111	131263
958	31143	131233
959	31177	131206
960	31207	131162
961	31246	131155
962	31282	131139
963	31314	131107
964	31349	131081
965	31383	131058
966	31420	131043
967	31457	131029
968	31489	130994
969	31525	130977
970	31561	130957
971	31594	130927
972	31626	130892
973	31661	130869
974	31696	130849
975	31731	130827
976	31763	130791
977	31796	130761
978	31827	130724
979	31862	130699
980	31895	130670
981	31929	130645
982	31961	130609
983	31992	130570
984	32024	130535
985	32055	130496
986	32087	130463
987	32117	130419
988	32149	130387
989	32183	130360
990	32216	130330
991	32248	130295
992	32283	130270
993	32312	130227
994	32349	130212
995	32384	130188
996	32421	130172
997	32451	130131
998	32483	130095
999	32513	130055
1000	32545	130020
1001	32575	129978
1002	32608	129946
1003	32642	129918
1004	32677	129896
1005	32707	129854
1006	32743	129834
1007	32773	129792
1008	32802	129748
1009	32830	129697
1010	32862	129661
1011	32894	129628
1012	32931	129612
1013	32964	129580
1014	32996	129546
1015	33027	129511
1016	33060	129478
1017	33090	129438
1018	33124	129410
1019	33155	129370
1020	33190	129346
1021	33222	129314
1022	33257	129292
1023	33286	129244
1024	33329	129251
1025	33359	129212
1026	33392	129179
1027	33426	129152
1028	33459	129121
1029	33488	129076
1030	33520	129044
1031	33554	129015
1032	33584	128975
1033	33621	128958
1034	33653	128923
1035	33683	128880
1036	33714	128841
1037	33744	128800
1038	33774	128760
1039	33806	128726
1040	33839	128694
1041	33872	128665
1042	33903	128626
1043	33938	128601
1044	33967	128557
1045	33996	128511
1046	34024	128460
1047	34060	128442
1048	34093	128413
1049	34126	128382
1050	34160	128352
1051	34193	128321
1052	34229	128303
1053	34261	128269
1054	34296	128247
1055	34332	128225
1056	34364	128192
1057	34398	128166
1058	34433	128142
1059	34464	128105
1060	34495	128064
1061	34531	128045
1062	34565	128017
1063	34602	128001
1064	34634	127967
1065	34666	127933
1066	34699	127902
1067	34736	127887
1068	34774	127876
1069	34808	127846
1070	34841	127818
1071	34877	127797
1072	34910	127767
1073	34943	127735
1074	34977	127708
1075	35012	127684
1076	35043	127646
1077	35078	127622
1078	35112	127596
1079	35146	127567
1080	35181	127543
1081	35215	127519
1082	35249	127490
1083	35280	127452
1084	35313	127423
1085	35350	127405
1086	35379	127361
1087	35411	127324
1088	35446	127301
1089	35476	127260
1090	35510	127230
1091	35544	127204
1092	35577	127174
1093	35610	127142
1094	35644	127116
1095	35676	127082
1096	35708	127045
1097	35742	127018
1098	35773	126981
1099	35804	126944
1100	35844	126936
1101	35877	126906
1102	35910	126876
1103	35943	126845
1104	35974	126805
1105	36001	126753
1106	36035	126725
1107	36069	126700
1108	36105	126676
1109	36139	126651
1110	36166	126598
1111	36194	126550
1112	36226	126515
1113	36260	126487
1114	36292	126455
1115	36323	126417
1116	36364	126414
1117	36397	126383
1118	36431	126353
1119	36464	126324
1120	36497	126292
1121	36532	126266
1122	36568	126248
1123	36599	126210
1124	36632	126177
1125	36661	126132
1126	36692	126096
1127	36722	126053
1128	36755	126023
1129	36789	125994
1130	36821	125960
1131	36856	125937
1132	36886	125894
1133	36919	125864
1134	36950	125827
1135	36981	125788
1136	37013	125756
1137	37049	125733
1138	37079	125691
1139	37113	125664
1140	37145	125631
1141	37179	125603
1142	37213	125573
1143	37243	125533
1144	37278	125508
1145	37311	125477
1146	37346	125455
1147	37375	125409
1148	37404	125364
1149	37436	125331
1150	37470	125301
1151	37503	125272
1152	37537	125243
1153	37567	125203
1154	37598	125166
1155	37635	125146
1156	37670	125124
1157	37702	125088
1158	37733	125051
1159	37762	125008
1160	37790	124957
1161	37823	124929
1162	37854	124892
1163	37888	124861
1164	37921	124831
1165	37954	124800
1166	37987	124768
1167	38017	124730
1168	38048	124690
1169	38079	124653
1170	38111	124619
1171	38150	124608
1172	38185	124582
1173	38214	124539
1174	38248	124511
1175	38282	124481
1176	38315	124452
1177	38350	124427
1178	38380	124386
1179	38412	124353
1180	38449	124333
1181	38484	124308
1182	38516	124276
1183	38548	124242
1184	38583	124215
1185	38617	124187
1186	38652	124164
1187	38688	124141
1188	38719	124102
1189	38751	124070
1190	38779	124023
1191	38810	123986
1192	38845	123962
1193	38874	123917
1194	38907	123884
1195	38941	123857
1196	38976	123831
1197	39007	123795
1198	39041	123766
1199	39071	123726
1200	39104	123693
1201	39137	123664
1202	39172	123638
1203	39203	123602
1204	39234	123563
1205	39265	123527
1206	39295	123486
1207	39329	123458
1208	39358	123415
1209	39387	123369
1210	39420	123338
1211	39452	123304
1212	39482	123265
1213	39513	123228
1214	39545	123192
1215	39579	123163
1216	39608	123122
1217	39641	123089
1218	39678	123071
1219	39712	123042
1220	39742	123003
1221	39773	122964
1222	39807	122937
1223	39841	122908
1224	39875	122881
1225	39908	122849
1226	39942	122821
1227	39983	122815
1228	40019	122793
1229	40054	122767
1230	40088	122741
1231	40122	122713
1232	40165	122712
1233	40194	122667
1234	40224	122629
1235	40257	122596
1236	40290	122565
1237	40321	122528
1238	40355	122498
1239	40388	122468
1240	40421	122436
1241	40453	122401
1242	40485	122369
1243	40518	122336
1244	40548	122296
1245	40577	122252
1246	40606	122209
1247	40638	122175
1248	40675	122156
1249	40708	122125
1250	40741	122093
1251	40772	122057
1252	40803	122020
1253	40837	121990
1254	40865	121945
1255	40899	121916
1256	40934	121890
1257	40969	121865
1258	41002	121836
1259	41035	121802
1260	41067	121769
1261	41101	121742
1262	41136	121715
1263	41175	121701
1264	41208	121671
1265	41242	121641
1266	41275	121612
1267	41307	121577
1268	41340	121546
1269	41375	121519
1270	41404	121478
1271	41437	121445
1272	41471	121416
1273	41505	121388
1274	41541	121366
1275	41575	121337
1276	41608	121306
1277	41639	121270
1278	41673	121240
1279	41703	121200
1280	41736	121170
1281	41768	121135
1282	41801	121103
1283	41832	121067
1284	41866	121038
1285	41898	121005
1286	41932	120976
1287	41969	120956
1288	41998	120913
1289	42031	120880
1290	42063	120846
1291	42097	120817
1292	42132	120791
1293	42167	120768
1294	42198	120729
1295	42231	120699
1296	42265	120669
1297	42296	120632
1298	42328	120599
1299	42362	120569
1300	42395	120538
1301	42427	120505
1302	42461	120474
1303	42494	120444
1304	42526	120409
1305	42562	120388
1306	42599	120366
1307	42630	120330
1308	42662	120297
1309	42694	120261
1310	42724	120222
1311	42764	120209
1312	42798	120180
1313	42828	120140
1314	42861	120109
1315	42892	120074
1316	42921	120031
1317	42954	119998
1318	42987	119967
1319	43020	119936
1320	43051	119900
1321	43086	119871
1322	43115	119830
1323	43148	119800
1324	43181	119768
1325	43214	119736
1326	43247	119705
1327	43284	119683
1328	43313	119642
1329	43347	119612
1330	43380	119582
1331	43410	119540
1332	43442	119508
1333	43477	119480
1334	43509	119448
1335	43543	119418
1336	43577	119389
1337	43608	119354
1338	43641	119322
1339	43676	119296
1340	43707	119258
1341	43741	119229
1342	43776	119202
1343	43807	119166
1344	43840	119134
1345	43880	119122
1346	43912	119089
1347	43945	119058
1348	43977	119023
1349	44011	118993
1350	44042	118957
1351	44085	118951
1352	44118	118921
1353	44151	118888
1354	44183	118855
1355	44215	118821
1356	44249	118790
1357	44285	118768
1358	44319	118738
1359	44351	118705
1360	44382	118669
1361	44415	118637
1362	44444	118593
1363	44477	118563
1364	44513	118539
1365	44546	118506
1366	44577	118471
1367	44606	118429
1368	44635	118385
1369	44664	118345
1370	44697	118313
1371	44730	118280
1372	44764	118252
1373	44794	118212
1374	44826	118179
